price,sold,tagText,has_discount_words,adjustable,bed,bedroom,bedside,bench,black,cabinet,cabinets,chair,chairs,charging,chest,closet,clothes,coffee,computer,conversation,couch,cushions,desk,dining,door,drawer,drawers,dresser,dressers,dressing,end,entryway,fabric,folding,frame,furniture,gaming,garden,glass,hanging,headboard,home,household,inch,kitchen,large,leather,led,legs,light,lights,living,lounge,makeup,metal,mirror,modern,nightstand,office,organizer,ottoman,outdoor,patio,piece,pieces,platform,portable,power,rack,rattan,room,round,seat,sectional,set,sets,shaped,shelf,shelves,shoe,shoes,simple,size,small,sofa,space,stand,station,steel,stool,storage,swing,table,tables,tv,upholstered,vanity,velvet,wardrobe,white,wicker,wood,wooden
244.17,1,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35721244024758103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2046963543924666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2793913833623477,0.2903987233425942,0.0,0.37751263133324314,0.0,0.0,0.0,0.0,0.3410852919752936,0.0,0.0,0.0,0.33804170474244094,0.24172050157576533,0.0,0.4106772032234132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2605685858311144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238.18,0,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6544840672605607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3773372455305228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4455875558876708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4803321131004708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495.8,0,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591910403138829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34650332714849263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19855962407971303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2710153203079244,0.28169266380572233,0.3531220765806454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3279073240758931,0.0,0.35086307612982315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3144067117103491,0.2527568241416254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32010710557028765,0.0,0.0
117.66,0,99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293986048971359,0.0,0.30788625725735125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29452085536555656,0.17643056995562653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2408112306328602,0.25029860656671177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6250265568658567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714440012520945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28443183927432725,0.28163064561247625,0.0
978.88,0,99,0,0.0,0.0,0.17718539411811476,0.0,0.0,0.0,0.0,0.0,0.6087350244861087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1554454421980812,0.0,0.0,0.0,0.0,0.0,0.22450962441352923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1862768476381176,0.6491182857139977,0.0,0.0,0.0,0.19203189314679422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174783547054145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440.94,0,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4052819200951931,0.0,0.0,0.23920126311696804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.790048293733373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3044916703299066,0.0,0.0,0.0,0.0,0.0,0.2482696865021788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183.3,0,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2584004977768436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29614668420539,0.0,0.0,0.266238311245144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4042125323818729,0.21006876080093176,0.0,0.2730852592534161,0.0,0.0,0.0,0.0,0.24673443391190164,0.0,0.0,0.0,0.0,0.34971177312164753,0.5233034514823433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188490222336886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.28,4,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35819003992236575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3938494338548535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22978829792017252,0.0,0.4140868993427514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4051879315816356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31363954002474925,0.3259961739579552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27135091288929025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2232936460288658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376.5,0,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2991274739775005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34282290605211596,0.0,0.0,0.30820061959622247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233960605342676,0.4863561666528463,0.0,0.31612672763312905,0.0,0.0,0.0,0.0,0.28562270039848847,0.0,0.0,0.0,0.28307401939465116,0.20241524341878728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16656674279640973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27634028994606086,0.0,0.0
204.93,0,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28512484757453754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27852194786598355,0.0,0.0,0.1643863158753619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20307713753837117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6137809123213072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2602954214085456,0.4185117022211738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29047742575561797,0.0,0.0,0.0,0.0,0.0,0.2624047764595355,0.0
